CWI_ID,TCMBank_ID,level1_name_en,level2_name,TCM_name,TCM_name_en,Herb_pinyin_name,Herb_latin_name,Properties,Meridians,UsePart,Function,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id,Herb_ID
CWIHE004774,TCMBANKHE004774,,,美国山核桃,Pecan,MEI GUO SHAN HE TAO,Carya illinoensis,,,,,,,,,,,6550,,,HERB003847
CWIHE004775,TCMBANKHE004775,,,桂竹香,Common Wallflower,GUI ZHU XIANG,Cheiranthus cheiri,,,flower,"To moisten intestines and free stool, free menstruation.","Constipation, menstrual disorder, amenorrhea, dysmenorrhea.",,,,,,5388,,,HERB002065
CWIHE004776,TCMBANKHE004776,,,川黔翠雀花,Bonvalot Larkspur,CHUAN QIAN CUI QUE HUA,Delphinium bonvalotii,,,root,See Delphinium omeiense .,See Delphinium omeiense .,,,,,,4705,,,HERB000874
CWIHE004777,TCMBANKHE004777,exterior-releasing medicinal,1.发散风寒药(16-15),胡荽,Coriander; Coriandrum sativum L.,HU SUI,Herba Coriandri,Pungent; warm,Lung; stomach,Coriandrom saticum L.,"Treatment of early stage of measles due to attack of wind and cold manifested as fever, no sweating and measles without a rash. Coriander (Husui) is used with Spirodela (Fuping) and Cimicifuga rhizome (Shengma). The heated herbal tea is applied to the skin to bring the rash to the surface.","Treatment of early stage of measles due to attack of wind and cold manifested as fever, no sweating and measles without a rash. Coriander (Husui) is used with Spirodela (Fuping) and Cimicifuga rhizome (Shengma). The heated herbal tea is applied to the ski",,,For relieving exterior syndrome,解表,,5192,,968,HERB002390
CWIHE004778,TCMBANKHE004778,,,光洁秋海棠,Glabrate Begonia,GUANG JIE QIU HAI TANG,Begonia glabra,,,,,,,,,,,1705,,,HERB002005
CWIHE004779,TCMBANKHE004779,,,日本臭节草,Japanese Chinaure,RI BEN CHOU JIE CAO,Boenninghausenia japonica,,,,,,,,,,,2120,,,HERB004628
CWIHE004780,TCMBANKHE004780,,,疑似玫瑰树,Confusable Ochrosia,YI SI MEI GUI SHU,Ochrosia confusa,,,,,,,,,,,5493,,,HERB006545
CWIHE004781,TCMBANKHE004781,,,泰国山牵牛,Thailand Clockvine (Raang-Chuet),TAI GUO SHAN QIAN NIU,Thunbergia laurifolia,,,,,,,,,,,6650,,,HERB005350
CWIHE004782,TCMBANKHE004782,,,向日葵花,Sunflower Flower,XIANG RI KUI HUA,Helianthus annuus,,,flower,"To dispel wind, calm liver, disinhibit damp.","Dizziness, tinnitus, dribbling urination.",,,,,,4730,,,HERB006039
CWIHE004783,TCMBANKHE004783,,,百两金,Crispateleaf Ardisia,BAI LIANG JIN,Ardisia crispa,,,root and rhizome,"To clear heat and disinhibit throat, dispel phlegm and disinhibit damp, quicken blood and resolve toxin.","Swelling pain in throat, cough with inhibited phlegm, damp-heat jaundice, dribbling pain of urination, wind-damp impediment pain, knocks and falls, clove sore, innominate toxin swelling, snake bite.",,,,,,7900,,,HERB000239
CWIHE004784,TCMBANKHE004784,,,素方花,Common White Jasmine,SU FANG HUA,Jasminum officinale,,,,,,,,,,,7378,,,HERB005280
CWIHE004785,TCMBANKHE004785,,,三叶黄连,Three-leaf Goldthread,SAN YE HUANG LIAN,Coptis trifolia,,,,,,,,,,,2011,,,HERB004809
CWIHE004786,TCMBANKHE004786,,,白花菜籽,Common SpiderfIower Seed,,,,,,,,,,,,,,,,
CWIHE004787,TCMBANKHE004787,,,海罂粟,Ciliate Hornpoppy,HAI YING SU,Glaucium fimbrilligerum,,,fruit,To settle pain and suppress cough.,,,,,,,4062,,,HERB002125
CWIHE004788,TCMBANKHE004788,,,雪莲,Snow Lotus,XUE LIAN,Saussurea involucrata; Saussurea tridactyla var. maidugonla,,,whole herb with flower,"To warm kidney and invigorate yang , dispel wind and overcome damp, quicken blood and free menstruation.","Impotence, weakness in lumbus and knees, wind-damp impediment pain, menstrual disorder, amenorrhea, uterus cold and abdominal pain, cold rheum cough.",,,,,,1733; 7121,,,HERB006292; HERB000958
CWIHE004789,TCMBANKHE004789,,,石榴叶,Pomegranate Leaf,SHI LIU YE,Punica granatum,,,leaf,"To promote contraction and check drain, resolve toxin and kill worms.","Diarrhea, furunculosis, lai sore, knocks and falls.",,,,,,5620,,,HERB005073
CWIHE004790,TCMBANKHE004790,,,日本辛夷,Kobus Magnolia,RI BEN XIN YI,,,,,,,,,,,,1104,,,HERB004678
CWIHE004791,TCMBANKHE004791,exterior-releasing medicinal,2.发散风热药(12-13),浮萍,all-grass of Common Ducksmeat; Common Duckwood; Spirodela polyrrhiza,FU PING,Herba Spirodelae,Cold; Pungent,Lung; Bladder,whole herb,"To dispel wind-heat, to promote eruption, and to cause diuresis.","Wind-heat exterior syndrome, non-eruption of measles, dormant papules with pruritus, edema, dribbling urinary block, sore and lichen, erysipelas, scalds.",,1. Containing potassium acetate and chloride which exert diuretic effect.2. Orall adminstration of its decoction or infusion (2g/kg) can reduce vaccine-induced fever in rabbits.3. Cardiotonic on the heart of frog weakened by quinine. Also causing constric,Pungent Cool Diaphoretics,辛凉解表药,SMHB00130,3768,130,254,HERB001758
CWIHE004792,TCMBANKHE004792,,,玉簪叶车前,Jadehairpin-leaf Plantain,YU ZAN YE CHE QIAN,Plantago hostifolia,,,,,,,,,,,3687,,,HERB006751
CWIHE004793,TCMBANKHE004793,,,鹅绒委陵菜,Silverweed Cinquefoil,E RONG WEI LING CAI,Potentilla anserina,,,tuberoid,"To supplement qi and blood, fortify spleen and stomach, engender liquid and allay thirst.","Blood vacuity during convalescence, gan accumulation, edema, spleen vacuity diarrhea, wind-damp impediment pain.",,,,,,3778,,,HERB001573
CWIHE004794,TCMBANKHE004794,,,高原唐松草,Highland Meadowrue,GAO YUAN TANG SONG CAO,Thalictrum cultratum,,,rhizome and root,See Thalictrum foliolosum .,See Thalictrum foliolosum.,,,,,,4900,,,HERB001869
CWIHE004795,TCMBANKHE004795,,,灵香草,Strongfragrant Loosestrife,LING XIANG CAO,Lysimachia foenum-graecum,,,whole herb,"To resolve exterior, relieve pain, move qi , expel roundworm.","Common cold with headache, swelling pain in throat, toothache, distention fullness in chest and abdomen, ascariasis.",,,,,,1268,,,HERB003438
CWIHE004796,TCMBANKHE004796,,,长叶水麻,Longleaf Debregeasia,CHANG YE SHUI MA,Debregeasia longifolia,,,stem-leaf,"To dispel wind and relieve cough, clear heat and disinhibit damp.","Wind damage and common cold, cough, heat inpediment, cystitis, innominate toxin swelling, toothache.",,,,,,5562,,,HERB000733
CWIHE004797,TCMBANKHE004797,,,波希鼠李,Cascara Buckthorn,BO XI SHU LI,Rhamnus purshiana,,,,,,,,,,,6794,,,HERB000536
CWIHE004798,TCMBANKHE004798,,,催吐萝芙木,Emitic DeviIpepper,CUI TU LUO FU MU,,,,,,,,,,,,6348,,,HERB001008
CWIHE004799,TCMBANKHE004799,,,并头黄芩,Twinflower Skullcap,BING TOU HUANG QIN,Scutellaria scordifolia,,,whole herb,"To clear heat and disinhibit damp, resolve toxin and disperse swelling.","Hepatitis, cirrhosis with ascites, appendicitis, mastitis, snake or insect bites, knocks and falls.",,,,,,2391,,,HERB000502
CWIHE004800,TCMBANKHE004800,,,多伞阿魏,Manyumbell Giantfennel,DUO SAN A WEI,Ferula ferulaeoides,,,root,,,,,,,,6602,,,HERB001522
CWIHE004801,TCMBANKHE004801,anti-malaria medicinal,,马鞭草,European Verbe Herb; European Verbena; Verbena officinalis,MA BIAN CAO,Herba Verbae,,,aerial parts,"To promote the flow of blood and to relieve blood stasis, to stop malarial attacks, to counteract toxicity, and to cause diuresis.","Malaria, amenorrhea and dysmenorrhea, throat impediment, edema, heat strangury, diphtheria, bilharziosis, dysentery, concretion conglomeration accumulation and gathering.",,1. Antiphlogistic and analgesic.2. Its decoction inhibits the growth of Bacillus diphtheriae and Bacillus typhi in vitro.3. Stimulating the uterus in rats and human.,Blood Activating Stasis Removing Drugs,活血祛瘀药,SMHB00266,7962,266,1003,HERB003636
CWIHE004802,TCMBANKHE004802,,,白藜芦醇; 白藜芦,White Falsehellebore,BAI LI LU,Veratrum album,,,,,,,,,,,7813,,,HERB000232
CWIHE004803,TCMBANKHE004803,hemostatic medicinal,2.化瘀止血药(5-4),茜草,root of Tali Madder; Madder,QIAN CAO,Radix Rubiae,Cold; Bitter,Liver,,"To remove heat from blood and arrest bleeding, to eliminate blood stasis, and to stimulate menstrual discharge.",1. Hemostatic. 2. Bacteriostatic in vitro. 3. Antitussive and expectorant.,,1. Hemostatic. 2. Bacteriostatic in vitro. 3. Antitussive and expectorant. ,Stasis-Resolving Hemostatic Medicinal,化瘀止血药,SMHB00321,3696,321,561,HERB004446
CWIHE004804,TCMBANKHE004804,,,冰岛衣,Iceland Moss,BING DAO YI,Cetraria islandica,,,lichen,"To regulate digestive system, increase appetite.",,,,,,,5382,,,HERB000491
CWIHE004805,TCMBANKHE004805,,,尾叶香茶菜,Taillikeleaf Rabdosia,WEI YE XIANG CHA CAI,Rabdosia excisa,,,,,,,,,,,1984,,,HERB005672
CWIHE004806,TCMBANKHE004806,,,梓白皮,Ovate Catalpa Bast,ZI BAI PI,Catalpa ovata,,,bast,"To clear heat and disinhibit damp, downbear counterflow and check vomiting, kill worms and relieve itch.","Damp-heat jaundice, sore and scab, eczema, itchy skin.",,,,,,6528,,,HERB007151
CWIHE004807,TCMBANKHE004807,,,补血草,Gmelin Sealavender Herb,BU XUE CAO,Limonium gmelinii,,,herb,To stanch bleeding and dissipate stasis.,"Static blood, flooding and spotting, carcinoma of uterine cervix.",,,,,,2992,,,HERB000550
CWIHE004808,TCMBANKHE004808,,,心叶赤瓟,Heartleaf Tubergourd,,,,,,,,,,,,,,,,
CWIHE004809,TCMBANKHE004809,,,,Poisonhemlock,DU SHEN,Conium maculatum,,,,,,,,,,,5772,,,HERB001403
CWIHE004810,TCMBANKHE004810,,,毒漆藤,Poison Ivy,DU QI TENG,Toxicodendron radicans,,,,,,,,,,,7259,,,HERB001401; HERB001403
CWIHE004811,TCMBANKHE004811,,,阔果蓟罂粟,Plumleaf Cratoxylum; Platyangle  Pricklepoppy,,,,,,,,,,,,,,,,
CWIHE004812,TCMBANKHE004812,,,灰叶烟草; 灰叶菸草,Leadwordleaf Tobacco,HUI YE YAN CAO,Nicotiana plumbaginifolia,,,,,,,,,,,5211,,,HERB002633
CWIHE004813,TCMBANKHE004813,tonifying and replenishing medicinal,2.补阳药(22-21),益智仁,Sharpleaf Galangal; Alpinia oxyphylla,YI ZHI REN,Alpinia oxyphylla,Warm; Pungent,Spleen; Kidney,fruit,"To warm spleen, check diarrhea, warm kidney, reduce urine, secure essence.","Spleen-stomach vacuity cold, vomiting and diarrhea, cold pain in abdomen, drooling, enuresis due to kidney vacuity, frequent urination, emission, white turbidity.",,1. Relieving the cyclophosphamide-induced leucopenia in mice.2. Inhibiting the biosynthesis of prostaglandin.,For tonifying weakness,补虚,,7655,,803,HERB006572
CWIHE004814,TCMBANKHE004814,,,榲桲,Common Quince,WEN PO,Cydonia oblonga,,,fruit,"To warm center and precipitate qi, disperse food, check diarrhea, resolve liquor.","Non-digestion of food accumulation, glomus disten tion in stomach duct and abdomen, water diarrhea, vomiting of sour matter.",,,,,,1872,,,HERB005678
CWIHE004815,TCMBANKHE004815,,,西伯利亚橐吾,Siberian Goldenray,XI BO LI YA TOU WU,Ligularia sibirica,,,root and rhizome,See Ligularia fischeri.,See Ligularia fischeri.,,,,,,5781,,,HERB005802
CWIHE004816,TCMBANKHE004816,,,禹粮石; 禹余粮,Limonite,YU LIANG SHI; YU YU LIANG,Limonitum,Mild; Sweet; Punkery,Spleen; Large Intestine; Stomach,,"Treatment of chronic diarrhea, chronic dysentery, abnormal uterine bleeding, morbid leukorrhea.","Treatment of chronic diarrhea, chronic dysentery, abnormal uterine bleeding, morbid leukorrhea.",,,Astriction,收涩,,8006; 5784,,814; 1078,HERB006726; HERB006750
CWIHE004817,TCMBANKHE004817,,,仰卧板凳果,Prostrate Pachysandra,YANG WO BAN DENG GUO,Pachysandra procumbens,,,,,,,,,,,3758,,,HERB006411
CWIHE004818,TCMBANKHE004818,,,多汁乳菇,Juicy Milk-mushroom ,,,,,,,,,,,,,,,,
CWIHE004819,TCMBANKHE004819,,,细叶功劳叶,Chinese Mahonia Leaf,XI YE GONG LAO YE,Mahonia fortunei,,,leaf,See Mahonia bealei.,See Mahonia bealei.,,,,,,6357,,,HERB005907
CWIHE004820,TCMBANKHE004820,,,苍白秤钩风,Glaucesent Diploclisia,CANG BAI CHENG GOU FENG,Diploclisia glaucescens,,,lianoid stem,"To dispel wind and eliminate damp, clear heat and resolve toxin.","Wind-damp bone pain, swelling pain in throat, cholecystitis, dysentery, urinary tract infection, poisonous snake bite.",,,,,,5640,,,HERB000573
CWIHE004821,TCMBANKHE004821,,,贝利芦荟,BaIIy AIoe*,,,,,,,,,,,,,,,,
CWIHE004822,TCMBANKHE004822,,,西南菝葜,Smilax bockii,XI NAN BA QIA,Smilax bockii,,,rhizome,"To dispel wind and eliminate damp, quicken blood and dispel stasis, resolve toxin and dissipate binds.","Wind-damp impediment, painful swelling from knocks and falls, clove sore scrofula,",,,,,,3581,,,HERB005859
CWIHE004823,TCMBANKHE004823,,,山苦瓜,Mountain Balsampear,SHAN KU GUA,Momordica dioica,,,,,,,,,,,7936,,,HERB004902
CWIHE004824,TCMBANKHE004824,,,金线草,Longtube Ground Ivy,JIN XIAN CAO,Glechoma longituba,,,aerial parts,"To disinhibit damp and free strangury, clear heat and resolve toxin, dissipate stasis and disperse swelling, lower blood pressure.","Heat strangury, stone strangury, damp-heat jaundice, swelling pain of welling abscess and sore, knocks and falls.",,,,,,6359,,,HERB002957
CWIHE004825,TCMBANKHE004825,,,加州山松,Californian Mountain Pine,JIA ZHOU SHAN SONG,Pinus monticola,,,,,,,,,,,5518,,,HERB002782
CWIHE004826,TCMBANKHE004826,,,多雄蕊商陆,Polyandrous Pokeweed,DUO XIONG RUI SHANG LU,Phytolacca polyandra,,,,,,,,,,,6576,,,HERB001535
CWIHE004827,TCMBANKHE004827,,,多雄蕊领春木,Polyandrous Euptelea,DUO XIONG RUI LING CHUN MU,Euptelea polyandra,,,,,,,,,,,3959,,,HERB001534
CWIHE004828,TCMBANKHE004828,,,多花水仙,Polyanthus Narcissus,DUO HUA SHUI XIAN,Narcissus tazetta,,,,,,,,,,,3280,,,HERB001509
CWIHE004829,TCMBANKHE004829,,,大叶臭花椒,Manyspiny Pricklyash,DA YE CHOU HUA JIAO,Zanthoxylum myriacanthum,,,stem and branch-leaf,"To dispel wind-damp, resolve toxin and disperse swelling, stanch bleeding and relieve pain.","Wind-cold common cold, wind-damp impediment pain, fracture due to knocks and falls, bleeding due to external injury, burns and scalds, poisonous snake bite.",,,,,,7051,,,HERB001122
CWIHE004830,TCMBANKHE004830,,,三叶木通根,Threeleaf Akebia Root,SAN YE MU TONG GEN,Akebia trifoliata,,,root,See Akebia quinata.,See Akebia quinata.,,,,,,5364,,,HERB004815
CWIHE004831,TCMBANKHE004831,,,叶脉银背藤,Veined Argyreia,YE MAI YIN BEI TENG,Argyreia nervosa,,,,,,,,,,,2097,,,HERB006474
CWIHE004832,TCMBANKHE004832,,,槐,Japanese Pagodatree,HUAI,Sophora japonica,,,flower and bud,"To cool blood and stanch bleeding, clear liver and brighten eyes.","Intestinal wind bleeding, bleeding from hemorrhoids, blood dysentery, hematuria, hematochezia, blood strangury, flooding and spotting, blood ejection, spontaneous external bleeding, liver fire headache, red eyes with gall, swollen welling abscess and sores.",,,,,,1341,,,HERB002468
CWIHE004833,TCMBANKHE004833,,,上佐州金腰,Tosa  Goldsaxifrage* ,,,,,,,,,,,,,,,,
CWIHE004834,TCMBANKHE004834,,,角柱花,"Blue Ceratostigma, Blue Bluesnow",JIAO ZHU HUA,Ceratostigma plumbaginoides,,,,See Ceratostigma willmottianum .,See Ceratostigma willmottianum .,,,,,,6266,,,HERB002872
CWIHE004835,TCMBANKHE004835,,,李子,Japanese Plum,LI ZI,Prunus salicina,,,fruit,"To clear heat, engender liquid, disperse accumulation.","Vacuity taxation with steaming bone, diabetes mellitus, food accumulation.",,,,,,2595,,,HERB003351
CWIHE004836,TCMBANKHE004836,,,束序苎麻,Siam Falsenettle,SHU XU ZHU MA,Boehmeria siamensis,,,whole herb,"To clear heat and remove damp, dispel wind and relieve itch, quicken blood and regulate menstruation.","Abdominal pain, diarrhea, wind-damp impediment pain, eczema, itchy skin, menstrual block, lump glomus.",,,,,,3031,,,HERB005138
CWIHE004837,TCMBANKHE004837,,,矢车菊,Cornflower,SHI CHE JU,Centaurea cyanus,,,"whole herb, ray flower","to clear heat and resolve toxin, quicken blood and disperse swelling, brighten eyes (whole herb), disinhibit urine (flower).",,,,,,,7798,,,HERB005032
CWIHE004838,TCMBANKHE004838,heat-clearing medicinal,3.清热解毒药(30-30),山豆根,Vietmese Sophora Root;Sophora tonkinensis;Tonkin Sophora  Root ,SHAN DOU GEN,Radix Sophorae Tonkinensis,Cold; Bitter,Lung; Stomach,root and rhizome,"To remove toxic heat, promote the subsidence of swelling, and soothe the sore throat.","Septicemia, ulcer of uterine cervix, chronic cervicitis, bacillary dysentery, enteritis, hydatid moles, chorioblastoma, asthma, chronic bronchitis, acute tonsillitis, laryngitis, accumulated fire toxin, swelling pain in throat, gingiva painful swelling.",,"1. Antineoplastic. Matrine, an active component, in anticarcinogenic on ascitic carcinoma in mice in vitro and in vivo. Other action components, oxymatrine, sophoraponicin, pterorepine, trifolirhizin and maackian, are anticarcinogenic on sarcoma180 in mic",Antipyretic Detoxicate Drugs,清热解毒药,SMHB00357,1419,357,618,HERB004883
CWIHE004839,TCMBANKHE004839,,,条裂黄堇,Linearsegmented Corydalis,TIAO LIE HUANG JIN,Corydalis linearioides,,,whole herb or tuber,"To dispel wind and eliminate damp, quicken blood and relieve pain.","Wind-damp impediment pain, itchy skin, knocks and falls.",,,,,,2508,,,HERB005489
CWIHE004840,TCMBANKHE004840,,,夹竹桃,Sweetscented Oleander,JIA ZHU TAO,Nerium indicum,,,leaf or bark,"To strengthen heart and disinhibit urine, dispel phlegm and settle asthma, settle pain, dispel stasis.","Congestive cardiac failure, cough and asthma, epilepsy, painful swelling from knocks and falls, amenorrhea due to blood stasis.",,,,,,5139,,,HERB002785
CWIHE004841,TCMBANKHE004841,,,康定玉竹,Pratt Solomonseal,KANG DING YU ZHU,Polygonatum prattii,,,rhizome,See Polygonatum odoratum.,See Polygonatum odoratum.,,,,,,1763,,,HERB003099
CWIHE004842,TCMBANKHE004842,,,五味子(北五味子),Chinese MagnoIiavine,,,,,,,,,,,,,,,,
CWIHE004843,TCMBANKHE004843,,,鹿茸,Hairy Antler,LU RONG,"Cervus nippon , Cervus elaphus",Warm; Sweet; Salty,Liver; Kidney,non-ossifying young horn of male deer or stag,"To supplement kidney and invigorate yang , boost essence and blood, strengthen sinews and bones, regulate thoroughfare and controlling vessels, draw sore toxin.","Impotence and emission, infertility due to uterus cold, marked emaciation, thrombocytopenia, septicemia, fatigued spirit, aversion of cold, dizziness, tinnitus and deafness, aching pain in lumbus and back, limp wilting sinew and bone, flooding and spotting with vaginal discharge, enduring yin flat abscess.",,"1. It is a tonic, promoting gastrointestinal peristalsis, accelerating the healing of ulcer or wound, and increasing the level of red blood cell, hemoglobin and reticulocyte.2. Increasing myocardial contractility, heart rate and cardic output.3. Its tinct",For tonifying weakness,补虚,,4063,,479,HERB003536
CWIHE004844,TCMBANKHE004844,,,续随子茎中白汁,Caper Euphorbia Latex,XU SUI ZI JING ZHONG BAI ZHI,Euphorbia lathyris,,,white juice in stem,"To eliminate macula and resolve toxin, close sores.","White patch wind, snake bite.",,,,,,2175,,,HERB006264
CWIHE004845,TCMBANKHE004845,,,软弱杜茎山,Slender Maesa,RUAN RUO DU JING SHAN,Maesa tenera,,,,,,,,,,,6952,,,HERB004726
CWIHE004846,TCMBANKHE004846,,,灰白毛萝芙木,Canescent Devilpepper,HUI BAI MAO LUO FU MU,Rauwolfia canescens,,,,,,,,,,,2788,,,HERB002602
CWIHE004847,TCMBANKHE004847,,,印度蛇菇,Indian Balanophora,,,,,,,,,,,,,,,,
CWIHE004848,TCMBANKHE004848,,,毛节缬草,Hairnode Valeriana,MAO JIE XIE CAO,Valeriana alternifolia var. stolonifera,,,,,,,,,,,1227,,,HERB003794
CWIHE004849,TCMBANKHE004849,,,台湾蜂斗菜,Taiwan Butterbur,TAI WAN FENG DOU CAI,Petasites formosanus,,,,,,,,,,,7671,,,HERB005361
CWIHE004850,TCMBANKHE004850,,,柄果花椒,Stalkedfruit Pricklyash,BING GUO HUA JIAO,Zanthoxylum podocarpum,,,bark,"To dispel cold, settle pain, course wind, fortify stomach.","Wind-damp pain in sinew and bone, throat pain, summerheat stroke, knocks and falls, snake bite.",,,,,,8153,,,HERB000494
CWIHE004851,TCMBANKHE004851,,,云南割舍树,Yunnan Cuttongue tree,YUN NAN GE SHE SHU,Walsura yunnanensis,,,,,,,,,,,5363,,,HERB006828
CWIHE004852,TCMBANKHE004852,,,蜂乳,Royal Jelly,FENG RU,Apis cerana,,,royal jelly,"To enrich and supplement, enrich and invigorate, boost liver, fortify spleen.","Weakness during convalescence, gan accumulation, senile vacuity weakness, septicemia, chronic hepatitis, duodenal ulcer, rheumatic arthritis, hypertension, diabetes mellitus, dysfunctional uterine bleeding, infertility.",,,,,,1273,,,HERB001712
CWIHE004853,TCMBANKHE004853,,,王浆,Royal jelly,WANG JIANG,Lac Regis Apis,Mild; Sweet; Sour,Spleen; Liver,,,,,,,,,1279,,718,HERB005643
CWIHE004854,TCMBANKHE004854,,,翅果黄芪,Wingfruit Milkvetch,CHI GUO HUANG QI,Astragalus pterocarpus,,,,,,,,,,,5127,,,HERB000796
CWIHE004855,TCMBANKHE004855,,,毛果翼核果,Hairyfruit Ventilago,MAO GUO YI HE GUO,Ventilago calyculata,,,,,,,,,,,3009,,,HERB003782
CWIHE004856,TCMBANKHE004856,,,荷青花,Japanese Hylomecon,,,,,,,,,,,,,,,,
CWIHE004857,TCMBANKHE004857,,,多齿千里光,Manytoothed Groundsel,DUO CHI QIAN LI GUANG,Senecio polyodon,,,,,,,,,,,4086,,,HERB001491
CWIHE004858,TCMBANKHE004858,,,白毛藤,Herba Solani Lyrati,BAI MAO TENG,,,,,,"Malaria, jaundice, edema, strangury, pain in joints due to rheumatalgia, erysipelas, clove sore.",,,Antipyretic Detoxicate Drugs,清热解毒药,SMHB00016,3187,16,,HERB000246
CWIHE004859,TCMBANKHE004859,,,鼠曲草,Gphalii Affinis Herba;Cudweed,SHU QU CAO,,,,,,"Cough with profuse phlegm, asthma, wind-cold common cold, pain in sinews and bones, vaginal discharge, welling abscess and open sore.",,,Phlegresolving Medicine,化痰药,SMHB00378,3505,378,1041,HERB005132
CWIHE004860,TCMBANKHE004860,,,小白撑,Unequalhair Paoshan Monkshood,XIAO BAI CHENG,Aconitum nagarum var. heterotrichum [Syn. Aconitum bullatifolium],,,tuberoid,"To dispel wind and eliminate damp, quicken blood and relieve pain.","Wind-damp pain, taxation damage in lumbar muscle, sprain in joints, intercostal neuralgia, wind stroke paralysis, early stage of welling abscess and flat abscess.",,,,,,3957,,,HERB006071
CWIHE004861,TCMBANKHE004861,,,山猫儿,Swordleaf Dianella,SHAN MAO ER,Dianella ensifolia,,,rhizome or whole herb,"To draw out toxin and disperse swelling, dissipate stasis and relieve pain.","Scrofula, sore and lichen, welling abscess and flat abscess, knocks and falls.",,,,,,6735,,,HERB004911
CWIHE004862,TCMBANKHE004862,hemostatic medicinal,2.化瘀止血药(5-5),降香,Odoriferous Rosewood;Dalbergia,JIANG XIANG,Lignum Dalbergiae odoriferae Rosewood,Warm; Pungent,Spleen; Liver,,"To relieve pain by promoting the circulation of qi and blood, and to arrest bleeding.",Shortening the plasma recalcification time in rabbits.,,Shortening the plasma recalcification time in rabbits.,Qi Regulating Drugs,理气药,SMHB00199,7370,199,391,HERB002846
CWIHE004863,TCMBANKHE004863,,,长瓣金莲花,Langpetal Globeflower,CHANG BAN JIN LIAN HUA,Trollius macropetalus,,,flower,To clear heat and resolve toxin.,"Infection of upper respiratory tract, acute or chronic tonsillitis, acute conjunctivitis, acute otitis media, acute lymphangitis, acute dysentery, acute appendicitis.",,,,,,3647,,,HERB000656
CWIHE004864,TCMBANKHE004864,,,紫菜,Laver,ZI CAI,Porphyra tenera,,,thallospore,"To transform phlegm and soften hardness, clear heat and disinhibit urine.","Goiter and tuberculosis, beriberi, edema, strangury, swelling pain in throat, cough, diarrhea.",,,,,,3968,,,HERB007159
CWIHE004865,TCMBANKHE004865,,,水晶兰,Indianpipe,SHUI JING LAN,Monotropa uniflora,,,root,To supplement lung and relieve cough.,Lung vacuity cough.,,,,,,4549,,,HERB005173
CWIHE004866,TCMBANKHE004866,,,粗毛淫羊藿,Acuminatum Epimedium,CU MAO YIN YANG HUO,Epimedium acuminatum,,,aerial parts,See Epimedium brevicornum .,See Epimedium brevicornum.,,,,,,5568,,,HERB000980
CWIHE004867,TCMBANKHE004867,,,苏库巴斗花,Bellaco-Caspi,SU KU BA DOU HUA,Himatanthus sucuuba,,,,,,,,,,,6067,,,HERB005290
CWIHE004868,TCMBANKHE004868,,,华千金藤,root of Chinese Stephania,HUA QIAN JIN TENG,Radix Stephaniae Sinicae,,,Stephania sinica Diels,"1. To remove blood stasis and alleviate pain. For stomachache, headache, toothache, trauma and rheumatism. 2. To clear heat and toxic material. For sorethroat, aphthae, carbuncle, burn, snake bite, dysentery and diarrhea. 3. To relax the muscles. As a muscle relaxant for restoration of fracture and surgical operation.","1. To remove blood stasis and alleviate pain. For stomachache, headache, toothache, trauma and rheumatism. 2. To clear heat and toxic material. For sorethroat, aphthae, carbuncle, burn, snake bite, dysentery and diarrhea. 3. To relax the muscles. As a mus",,,,,,1612,,970,HERB002442
CWIHE004869,TCMBANKHE004869,,,金不换,Chinese Stephania,JIN BU HUAN,Stephania sinica,,,root,"To clear heat and resolve toxin, dissipate stasis and relieve pain.","stomachache, neuralgia, toothache, common cold, throat pain, diarrhea, dysentery, swelling toxin of welling abscess and flat abscess, wind-damp impediment pain, knocks and falls.",,,,,,5728,,,HERB002889
CWIHE004870,TCMBANKHE004870,,,灌木远志,Shrubby Milkwort,GUAN MU YUAN ZHI,Polygala fruticosa,,,,,,,,,,,6256,,,HERB001978
CWIHE004871,TCMBANKHE004871,,,武当木兰,Sprenger Magnolia,WU DANG MU LAN,Magnolia sprengeri,,,flower bud,See Magnolia liliflora.,See Magnolia liliflora.,,,,,,5502,,,HERB005702
CWIHE004872,TCMBANKHE004872,,,清明花,Easter Heraldtrumpet,QING MING HUA,Beaumontia grandiflora,,,root and leaf,"To dispel wind and eliminate damp, quicken blood, relieve pain.","Wind-damp impediment pain, taxation damage in lumbar muscle, knocks and falls, swelling pain from fracture.",,,,,,7593,,,HERB004530
CWIHE004873,TCMBANKHE004873,,,果香菊,Noble Chamaemelum ,GUO XIANG JU,,,,,,,,,,,,8133,,,HERB002069
CWIHE004874,TCMBANKHE004874,,,内折香茶菜,Inflexed Rabdosia,NEI ZHE XIANG CHA CAI,Isodon inflexa [Syn. Rabdosia inflexa ],,,,,,,,,,,5854,,,HERB004135
CWIHE004875,TCMBANKHE004875,,,弯蕊开口箭,Watt Tupistra,WAN RUI KAI KOU JIAN,Tupistra wattii [Syn. Campylandra wattii],,,rhizome,"To clear heat and resolve toxin, dissipate stasis and stanch bleeding, disperse swelling and relieve pain.","Wind-heat common cold, cough and sore pharynx, tonsillitis, lymphnoditis, fracture due to knocks and falls, stomachache blood ejection, bleeding due to external injury.",,,,,,3450,,,HERB005624
