CWI_ID,TCMBank_ID,Gene_name,Gene_alias,Description,Map_location,Gene_Type,TTD_gene_type
CWITA006901,TCMBANKGE006901,FREM3,-,FRAS1 related extracellular matrix 3,4q31.21,protein-coding,/
CWITA006902,TCMBANKGE006902,PGGHG,ATHL1,protein-glucosylgalactosylhydroxylysine glucosidase,11p15.5,protein-coding,/
CWITA006903,TCMBANKGE006903,G6pdx,G28A; G6pd; Gpdx,glucose-6-phosphate dehydrogenase X-linked,X A7.3|X 38.0 cM,protein-coding,/
CWITA006904,TCMBANKGE006904,MBTPS1,PCSK8; S1P; SEDKF; SKI-1,"membrane bound transcription factor peptidase, site 1",16q23.3-q24.1,protein-coding,Research target
CWITA006905,TCMBANKGE006905,LRRN4,C20orf75; NLRR-4; NLRR4; dJ1056H1.1,leucine rich repeat neuronal 4,20p12.3,protein-coding,/
CWITA006906,TCMBANKGE006906,CYP11A1,CYP11A; P450SCC,"cytochrome P450, family 11, subfamily A, polypeptide 1",15q23-q24,protein-coding,
CWITA006907,TCMBANKGE006907,AKR1A1,ALDR1; ALR; ARM; DD3; HEL-S-6,aldo-keto reductase family 1 member A1,1p34.1,protein-coding,/
CWITA006908,TCMBANKGE006908,TUBB1,N,"tubulin, beta 1",20q13.32,protein-coding,
CWITA006909,TCMBANKGE006909,GRM1,GPRC1A; MGLU1; MGLUR1; PPP1R85; SCA44; SCAR13,glutamate metabotropic receptor 1,6q24.3,protein-coding,Discontinued target
CWITA006910,TCMBANKGE006910,ELOVL3,CIG-30; CIG30,ELOVL fatty acid elongase 3,10q24.32,protein-coding,/
CWITA006911,TCMBANKGE006911,GABRA2,EIEE78,gamma-aminobutyric acid type A receptor subunit alpha2,4p12,protein-coding,Successful target
CWITA006912,TCMBANKGE006912,CHODL,C21orf68; MT75; PRED12,chondrolectin,21q21.1,protein-coding,/
CWITA006913,TCMBANKGE006913,HEATR5B,-,HEAT repeat containing 5B,2p22.2,protein-coding,/
CWITA006914,TCMBANKGE006914,DCDC2,DCDC2A; DFNB66; NPHP19; NSC; RU2; RU2S,doublecortin domain containing 2,6p22.3,protein-coding,/
CWITA006915,TCMBANKGE006915,MC5R,MC2,melanocortin 5 receptor,18p11.21,protein-coding,Clinical Trial target
CWITA006916,TCMBANKGE006916,SLC19A2,TC1; THT1; THTR1; TRMA,"solute carrier family 19 (thiamine transporter), member 2",1q23.3,protein-coding,
CWITA006917,TCMBANKGE006917,OXA1L,OXA1,OXA1L mitochondrial inner membrane protein,14q11.2,protein-coding,/
CWITA006918,TCMBANKGE006918,TOB2,APRO5; TOB4; TOBL; TROB2,"transducer of ERBB2, 2",22q13.2,protein-coding,/
CWITA006919,TCMBANKGE006919,GPX3,GPxNP; GSHPxN3; GSHPxNP,glutathione peroxidase 3 (plasma),5q23,protein-coding,
CWITA006920,TCMBANKGE006920,CA3,CAIII; Car3; FLJ36434,"carbonic anhydrase III, muscle specific",8q21.2,protein-coding,
CWITA006921,TCMBANKGE006921,PTPRJ,CD148; DEP1; HPTPeta; R-PTP-ETA; SCC1,protein tyrosine phosphatase receptor type J,11p11.2,protein-coding,Research target
CWITA006922,TCMBANKGE006922,YWHAB,GW128; HEL-S-1; HS1; KCIP-1; YWHAA,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,20q13.12,protein-coding,/
CWITA006923,TCMBANKGE006923,MTFR2,DUFD1; FAM54A,mitochondrial fission regulator 2,6q23.3,protein-coding,/
CWITA006924,TCMBANKGE006924,ZNF502,-,zinc finger protein 502,3p21.31,protein-coding,/
CWITA006925,TCMBANKGE006925,NPEPPS,AAP-S; MP100; PSA,Aminopeptidase Puromycin Sensitive,17q21,protein-coding,
CWITA006926,TCMBANKGE006926,ADH5,ADH-3; ADHX; FALDH; FDH; GSH-FDH; GSNOR; HEL-S-60p,"alcohol dehydrogenase 5 (class III), chi polypeptide",4q23,protein-coding,/
CWITA006927,TCMBANKGE006927,PDE6A,CGPRNA; PDEA; RP43,"phosphodiesterase 6A, cGMP-specific, rod, alpha",5q31.2-q34,protein-coding,
CWITA006928,TCMBANKGE006928,CTRL,CTRL1,chymotrypsin like,16q22.1,protein-coding,/
CWITA006929,TCMBANKGE006929,ARVCF,-,ARVCF delta catenin family member,22q11.21,protein-coding,/
CWITA006930,TCMBANKGE006930,PDXDC1,KIAA0251; LP8165,pyridoxal-dependent decarboxylase domain containing 1,16p13.11,protein-coding,
CWITA006931,TCMBANKGE006931,ZNF106,SH3BP3; ZFP106; ZNF474,zinc finger protein 106,15q15.1,protein-coding,/
CWITA006932,TCMBANKGE006932,HTR1E,5NHT1E,5-hydroxytryptamine (serotonin) receptor 1E,6q14-q15,protein-coding,
CWITA006933,TCMBANKGE006933,DHRS4L2,SDR25C3,dehydrogenase/reductase 4 like 2,14q11.2,protein-coding,/
CWITA006934,TCMBANKGE006934,TPMT,TPMTD,thiopurine S-methyltransferase,6p22.3,protein-coding,/
CWITA006935,TCMBANKGE006935,ATP7B,PWD; WC1; WD; WND,"ATPase, Cu++ transporting, beta polypeptide",13q14.3,protein-coding,
CWITA006936,TCMBANKGE006936,ARHGAP19,-,Rho GTPase activating protein 19,10q24.1,protein-coding,/
CWITA006937,TCMBANKGE006937,BST1,CD157,bone marrow stromal cell antigen 1,4p15.32,protein-coding,/
CWITA006938,TCMBANKGE006938,RPL36,L36,ribosomal protein L36,19p13.3,protein-coding,/
CWITA006939,TCMBANKGE006939,LMF1,C16orf26; HMFN1876; JFP11; TMEM112; TMEM112A,lipase maturation factor 1,16p13.3,protein-coding,/
CWITA006940,TCMBANKGE006940,PIN1,DOD; UBL5,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",19p13,protein-coding,
CWITA006941,TCMBANKGE006941,IGSF3,EWI-3; LCDD; V8,immunoglobulin superfamily member 3,1p13.1,protein-coding,/
CWITA006942,TCMBANKGE006942,MRPS15,DC37; MPR-S15; RPMS15; S15mt,mitochondrial ribosomal protein S15,1p34.3,protein-coding,/
CWITA006943,TCMBANKGE006943,CHRM3,EGBRS; HM3; PBS,cholinergic receptor muscarinic 3,1q43,protein-coding,Successful target
CWITA006944,TCMBANKGE006944,SLC38A9,URLC11,solute carrier family 38 member 9,5q11.2,protein-coding,/
CWITA006945,TCMBANKGE006945,AARS2,AARSL; COXPD8; LKENP; MT-ALARS; MTALARS,"alanyl-tRNA synthetase 2, mitochondrial",6p21.1,protein-coding,/
CWITA006946,TCMBANKGE006946,C1QTNF5,CTRP5; MFRP,C1q and TNF related 5,11q23.3,protein-coding,/
CWITA006947,TCMBANKGE006947,CDK5R2,NCK5AI; P39; p39nck5ai,cyclin dependent kinase 5 regulatory subunit 2,2q35,protein-coding,/
CWITA006948,TCMBANKGE006948,EPS15,AF-1P; AF1P; MLLT5,epidermal growth factor receptor pathway substrate 15,1p32.3,protein-coding,/
CWITA006949,TCMBANKGE006949,PARP4,ADPRTL1; ARTD4; PARP-4; PARPL; PH5P; VAULT3; VPARP; VWA5C; p193,poly(ADP-ribose) polymerase family member 4,13q12.12,protein-coding,/
CWITA006950,TCMBANKGE006950,CA14,CAXiV,carbonic anhydrase 14,1q21.2,protein-coding,Successful target
CWITA006951,TCMBANKGE006951,PA2G4,EBP1; HG4-1; p38-2G4,proliferation-associated 2G4,12q13.2,protein-coding,/
CWITA006952,TCMBANKGE006952,ETFRF1,LYRM5,electron transfer flavoprotein regulatory factor 1,12p12.1,protein-coding,/
CWITA006953,TCMBANKGE006953,FOLR1,FBP; FOLR,folate receptor 1 (adult),11q13.3-q14.1,protein-coding,
CWITA006954,TCMBANKGE006954,VPS26A,HB58; Hbeta58; PEP8A; VPS26,"VPS26, retromer complex component A",10q22.1,protein-coding,/
CWITA006955,TCMBANKGE006955,MBNL3,CHCR; MBLX; MBLX39; MBXL,muscleblind like splicing regulator 3,Xq26.2,protein-coding,/
CWITA006956,TCMBANKGE006956,NONO,MRXS34; NMT55; NRB54; P54; P54NRB; PPP1R114,non-POU domain containing octamer binding,Xq13.1,protein-coding,/
CWITA006957,TCMBANKGE006957,SLC16A4,MCT4; MCT5,solute carrier family 16 member 4,1p13.3,protein-coding,/
CWITA006958,TCMBANKGE006958,SLC16A1,FLJ36745; HHF7; MCT; MCT1; MGC44475,"solute carrier family 16, member 1 (monocarboxylic acid transporter 1)",1p12,protein-coding,
CWITA006959,TCMBANKGE006959,SLC16A3,MCT 3; MCT 4; MCT-3; MCT-4; MCT3; MCT4,solute carrier family 16 member 3,17q25.3,protein-coding,Research target
CWITA006960,TCMBANKGE006960,ZNF783,-,zinc finger family member 783,7q36.1,protein-coding,/
CWITA006961,TCMBANKGE006961,F2,PT; RPRGL2; THPH1,"coagulation factor II, thrombin",11p11.2,protein-coding,Successful target
CWITA006962,TCMBANKGE006962,TMEM11,C17orf35; PM1; PMI,transmembrane protein 11,17p11.2,protein-coding,/
CWITA006963,TCMBANKGE006963,PAGE4,CT16.7; GAGE-9; GAGEC1; JM-27; JM27; PAGE-1; PAGE-4,PAGE family member 4,Xp11.23,protein-coding,/
CWITA006964,TCMBANKGE006964,PRTFDC1,HHGP,phosphoribosyl transferase domain containing 1,10p12.1,protein-coding,/
CWITA006965,TCMBANKGE006965,ZNF331,RITA; ZNF361; ZNF463,zinc finger protein 331,19q13.42,protein-coding,/
CWITA006966,TCMBANKGE006966,TRAPPC4,HSPC172; PTD009; SBDN; SYNBINDIN; TRS23,trafficking protein particle complex 4,11q23.3,protein-coding,
CWITA006967,TCMBANKGE006967,PSMA3,HC8; PSC3,proteasome 20S subunit alpha 3,14q23.1,protein-coding,/
CWITA006968,TCMBANKGE006968,FAAH,FAAHN1; MGC102823; MGC138146,fatty acid amide hydrolase,1p35-p34,protein-coding,
CWITA006969,TCMBANKGE006969,PCBD1,DCOH; PCBD; PCD; PHS,pterin-4 alpha-carbinolamine dehydratase 1,10q22.1,protein-coding,/
CWITA006970,TCMBANKGE006970,EFNB2,EPLG5; HTKL; Htk-L; LERK5,ephrin B2,13q33.3,protein-coding,/
CWITA006971,TCMBANKGE006971,AP3S2,AP3S3; sigma3b,adaptor related protein complex 3 subunit sigma 2,15q26.1,protein-coding,/
CWITA006972,TCMBANKGE006972,FGF13,FGF-13; FGF2; FHF-2; FHF2; LINC00889,fibroblast growth factor 13,Xq26.3-q27.1,protein-coding,/
CWITA006973,TCMBANKGE006973,DKK4,DKK-4,dickkopf WNT signaling pathway inhibitor 4,8p11.21,protein-coding,/
CWITA006974,TCMBANKGE006974,MBOAT4,FKSG89; GOAT; OACT4,membrane bound O-acyltransferase domain containing 4,8p12,protein-coding,Patented target
CWITA006975,TCMBANKGE006975,THBS1,THBS; THBS-1; TSP; TSP-1; TSP1,thrombospondin 1,15q14,protein-coding,Clinical Trial target
CWITA006976,TCMBANKGE006976,PIAS4,PIAS-gamma; PIASY; Piasg; ZMIZ6,protein inhibitor of activated STAT 4,19p13.3,protein-coding,/
CWITA006977,TCMBANKGE006977,RNFT1,PTD016,"ring finger protein, transmembrane 1",17q23.1,protein-coding,/
CWITA006978,TCMBANKGE006978,ZNF570,-,zinc finger protein 570,19q13.12,protein-coding,/
CWITA006979,TCMBANKGE006979,CCAR1,-,cell division cycle and apoptosis regulator 1,10q21.3,protein-coding,/
CWITA006980,TCMBANKGE006980,CENPN,BM039; C16orf60; CENP-N; ICEN32,centromere protein N,16q23.2,protein-coding,/
CWITA006981,TCMBANKGE006981,SIN3A,WITKOS,SIN3 transcription regulator family member A,15q24.2,protein-coding,/
CWITA006982,TCMBANKGE006982,ARID2,BAF200; CSS6; p200,AT-rich interaction domain 2,12q12,protein-coding,/
CWITA006983,TCMBANKGE006983,CCDC167,C6orf129; HSPC265,coiled-coil domain containing 167,6p21.2,protein-coding,/
CWITA006984,TCMBANKGE006984,C1orf50,-,chromosome 1 open reading frame 50,1p34.2,protein-coding,/
CWITA006985,TCMBANKGE006985,RASL11A,-,RAS like family 11 member A,13q12.2,protein-coding,/
CWITA006986,TCMBANKGE006986,DAP3,DAP-3; MRP-S29; MRPS29; S29mt; bMRP-10,death associated protein 3,1q22,protein-coding,/
CWITA006987,TCMBANKGE006987,MTR,HMAG; MS; cblG,5-methyltetrahydrofolate-homocysteine methyltransferase,1q43,protein-coding,Research target
CWITA006988,TCMBANKGE006988,ITPR1,DKFZp313E1334; DKFZp313N1434; INSP3R1; IP3R; IP3R1; SCA15; SCA16,"inositol 1,4,5-trisphosphate receptor, type 1",3p26.1,protein-coding,
CWITA006989,TCMBANKGE006989,ASPDH,-,aspartate dehydrogenase domain containing,19q13.33,protein-coding,/
CWITA006990,TCMBANKGE006990,TXNDC2,SPTRX; SPTRX1,thioredoxin domain containing 2,18p11.22,protein-coding,/
CWITA006991,TCMBANKGE006991,PDSS2,C6orf210; COQ10D3; COQ1B; DLP1; bA59I9.3; hDLP1,decaprenyl diphosphate synthase subunit 2,6q21,protein-coding,/
CWITA006992,TCMBANKGE006992,ZFX,ZNF926,zinc finger protein X-linked,Xp22.11,protein-coding,/
CWITA006993,TCMBANKGE006993,AHRR,AHH; AHHR; bHLHe77,aryl-hydrocarbon receptor repressor,5p15.33,protein-coding,/
CWITA006994,TCMBANKGE006994,ZBTB40,ZNF923,zinc finger and BTB domain containing 40,1p36.12,protein-coding,/
CWITA006995,TCMBANKGE006995,ITPK1,ITRPK1,inositol-tetrakisphosphate 1-kinase,14q32.12,protein-coding,/
CWITA006996,TCMBANKGE006996,CFC1,CFC1B; CRYPTIC; DTGA2; HTX2,"cripto, FRL-1, cryptic family 1",2q21.1,protein-coding,/
CWITA006997,TCMBANKGE006997,HSD17B7,PRAP; SDR37C1,hydroxysteroid 17-beta dehydrogenase 7,1q23.3,protein-coding,/
CWITA006998,TCMBANKGE006998,IFNG,IFG; IFI,"interferon, gamma",12q14,protein-coding,
CWITA006999,TCMBANKGE006999,SP6,EPFN; EPIPROFIN; KLF14,Sp6 transcription factor,17q21.32,protein-coding,/
CWITA007000,TCMBANKGE007000,ZNF577,-,zinc finger protein 577,19q13.41,protein-coding,/
CWITA007001,TCMBANKGE007001,DKKL1,CT34; SGY; SGY-1; SGY1,dickkopf like acrosomal protein 1,19q13.33,protein-coding,/
CWITA007002,TCMBANKGE007002,PAPSS2,ATPSK2; BCYM4; SK2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,10q23.2-q23.31,protein-coding,/
CWITA007003,TCMBANKGE007003,ZC3H15,HT010; LEREPO4; MSTP012,zinc finger CCCH-type containing 15,2q32.1,protein-coding,/
CWITA007004,TCMBANKGE007004,MYO9A,CMS24,myosin IXA,15q23,protein-coding,/
CWITA007005,TCMBANKGE007005,APBB1IP,INAG1; PREL1; RARP1; RIAM,amyloid beta precursor protein binding family B member 1 interacting protein,10p12.1,protein-coding,/
CWITA007006,TCMBANKGE007006,ENPP3,B10; CD203c; NPP3; PD-IBETA; PDNP3,ectonucleotide pyrophosphatase/phosphodiesterase 3,6q23.2,protein-coding,Clinical Trial target
CWITA007007,TCMBANKGE007007,IFNA16,IFN-alpha-16; IFN-alphaO,interferon alpha 16,9p21.3,protein-coding,/
CWITA007008,TCMBANKGE007008,TUBB3,CFEOM3A; TUBB4; betaN4,"tubulin, beta 3",16q24.3,protein-coding,
CWITA007009,TCMBANKGE007009,F8,AHF; DXS1253E; F8B; F8C; FVIII; HEMA,coagulation factor VIII,Xq28,protein-coding,Successful target
CWITA007010,TCMBANKGE007010,TMEM50B,C21orf4; HCVP7TP3,transmembrane protein 50B,21q22.11,protein-coding,/
CWITA007011,TCMBANKGE007011,CFAP52,WDR16; WDRPUH,cilia and flagella associated protein 52,17p13.1,protein-coding,/
CWITA007012,TCMBANKGE007012,CHTF8,CTF8; DERPC,chromosome transmission fidelity factor 8,16q22.1,protein-coding,/
CWITA007013,TCMBANKGE007013,ZNF692,AREBP; Zfp692,zinc finger protein 692,1q44,protein-coding,/
CWITA007014,TCMBANKGE007014,ATP6V0C,ATP6C; ATP6L; ATPL; VATL; VPPC; Vma3,ATPase H+ transporting V0 subunit c,16p13.3,protein-coding,/
CWITA007015,TCMBANKGE007015,ZNF480,-,zinc finger protein 480,19q13.41,protein-coding,/
CWITA007016,TCMBANKGE007016,ZKSCAN3,ZF47; ZFP306; ZNF306; ZNF309; ZSCAN13; ZSCAN35; Zfp47; dJ874C20.1; dJ874C20.1.; zfp-47,zinc finger with KRAB and SCAN domains 3,6p22.1,protein-coding,/
CWITA007017,TCMBANKGE007017,TAF5L,PAF65B,TATA-box binding protein associated factor 5 like,1q42.13,protein-coding,/
CWITA007018,TCMBANKGE007018,RPL26,DBA11; L26,ribosomal protein L26,17p13.1,protein-coding,/
CWITA007019,TCMBANKGE007019,MRTFA,BSAC; MAL; MKL; MKL1; MRTF-A,myocardin related transcription factor A,22q13.1-q13.2,protein-coding,/
CWITA007020,TCMBANKGE007020,UQCRH,QCR6; UQCR8,ubiquinol-cytochrome c reductase hinge protein,1p33,protein-coding,/
CWITA007021,TCMBANKGE007021,ACAD10,-,acyl-CoA dehydrogenase family member 10,12q24.12,protein-coding,/
CWITA007022,TCMBANKGE007022,COPG1,COPG,COPI coat complex subunit gamma 1,3q21.3,protein-coding,/
CWITA007023,TCMBANKGE007023,GOPC,CAL; FIG; GOPC1; PIST; dJ94G16.2,golgi associated PDZ and coiled-coil motif containing,6q22.1,protein-coding,/
CWITA007024,TCMBANKGE007024,SLC29A3,ENT3; HCLAP; HJCD; PHID,solute carrier family 29 member 3,10q22.1,protein-coding,/
CWITA007025,TCMBANKGE007025,ORMDL3,-,ORMDL sphingolipid biosynthesis regulator 3,17q21.1,protein-coding,/
CWITA007026,TCMBANKGE007026,CBR4,SDR45C1,carbonyl reductase 4,4q32.3,protein-coding,/
CWITA007027,TCMBANKGE007027,ERVK-19,HERV-K(C19); P1.8; PR; Protease; Proteinase; envK3; polymerase,"endogenous retrovirus group K member 19, envelope",19q11,other,/
CWITA007028,TCMBANKGE007028,KIF21B,-,kinesin family member 21B,1q32.1,protein-coding,/
CWITA007029,TCMBANKGE007029,RABGEF1,RABEX5; RAP1; rabex-5,RAB guanine nucleotide exchange factor 1,7q11.21,protein-coding,/
CWITA007030,TCMBANKGE007030,PCDHA8,PCDH-ALPHA8,protocadherin alpha 8,5q31.3,protein-coding,/
CWITA007031,TCMBANKGE007031,ITGA1,CD49a; VLA1,integrin subunit alpha 1,5q11.2,protein-coding,Clinical Trial target
CWITA007032,TCMBANKGE007032,ZNF157,HZF22,zinc finger protein 157,Xp11.3,protein-coding,/
CWITA007033,TCMBANKGE007033,PAPLN,PPN,"papilin, proteoglycan like sulfated glycoprotein",14q24.2,protein-coding,/
CWITA007034,TCMBANKGE007034,MRPL14,L14mt; L32mt; MRP-L14; MRP-L32; MRPL32; RMPL32; RPML32,mitochondrial ribosomal protein L14,6p21.1,protein-coding,/
CWITA007035,TCMBANKGE007035,SLC25A10,DIC,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",17q25.3,protein-coding,
CWITA007036,TCMBANKGE007036,KCNQ5,Kv7.5; MRD46,potassium voltage-gated channel subfamily Q member 5,6q13,protein-coding,Research target
CWITA007037,TCMBANKGE007037,PSMB1,HC5; PMSB1; PSC5,proteasome 20S subunit beta 1,6q27,protein-coding,/
CWITA007038,TCMBANKGE007038,SDS,SDH,serine dehydratase,12q24.13,protein-coding,/
CWITA007039,TCMBANKGE007039,CYRIB,BM-009; CYRI; CYRI-B; FAM49B; L1,CYFIP related Rac1 interactor B,8q24.21,protein-coding,/
CWITA007040,TCMBANKGE007040,ADCY3,AC-III; AC3; BMIQ19,adenylate cyclase 3,2p23.3,protein-coding,/
CWITA007041,TCMBANKGE007041,RAC2,EN-7; Gx; HSPC022; p21-Rac2,Rac family small GTPase 2,22q13.1,protein-coding,/
CWITA007042,TCMBANKGE007042,C15orf48,COXFA4L3; FOAP-11; MIR147BHG; NMES1,chromosome 15 open reading frame 48,15q21.1,protein-coding,/
CWITA007043,TCMBANKGE007043,ZFAND6,AWP1; ZA20D3; ZFAND5B,zinc finger AN1-type containing 6,15q25.1,protein-coding,/
CWITA007044,TCMBANKGE007044,DNAJC6,DJC6; PARK19,DnaJ heat shock protein family (Hsp40) member C6,1p31.3,protein-coding,/
CWITA007045,TCMBANKGE007045,PRKX,PKX1,protein kinase X-linked,Xp22.33,protein-coding,/
CWITA007046,TCMBANKGE007046,AP2S1,AP17; CLAPS2; FBH3; FBHOk; HHC3,adaptor related protein complex 2 subunit sigma 1,19q13.32,protein-coding,/
CWITA007047,TCMBANKGE007047,LEAP2,LEAP-2,liver enriched antimicrobial peptide 2,5q31.1,protein-coding,/
CWITA007048,TCMBANKGE007048,TINF2,DKCA3; TIN2,TERF1 interacting nuclear factor 2,14q12,protein-coding,/
CWITA007049,TCMBANKGE007049,ATP5ME,ATP5I; ATP5K,ATP synthase membrane subunit e,4p16.3,protein-coding,/
CWITA007050,TCMBANKGE007050,TRIM11,BIA1; RNF92,tripartite motif containing 11,1q42.13,protein-coding,/
CWITA007051,TCMBANKGE007051,ZNF592,CAMOS; SCAR5,zinc finger protein 592,15q25.3,protein-coding,/
CWITA007052,TCMBANKGE007052,NDUFA11,B14.7; CINB14.7; FLJ76501,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa",19p13.3,protein-coding,
CWITA007053,TCMBANKGE007053,IFIT3,CIG-49; GARG-49; IFI60; IFIT4; IRG2; ISG60; P60; RIG-G; cig41,interferon induced protein with tetratricopeptide repeats 3,10q23.31,protein-coding,/
CWITA007054,TCMBANKGE007054,C8B,C82,complement C8 beta chain,1p32.2,protein-coding,/
CWITA007055,TCMBANKGE007055,PGGT1B,BGGI; GGTI,protein geranylgeranyltransferase type I subunit beta,5q22.3,protein-coding,Clinical Trial target
CWITA007056,TCMBANKGE007056,NME8,CILD6; HEL-S-99; NM23-H8; SPTRX2; TXNDC3; sptrx-2,NME/NM23 family member 8,7p14.1,protein-coding,/
CWITA007057,TCMBANKGE007057,ZRSR2P1,U2AF1-RS1; U2AF1L1; U2AF1P; U2AF1RS1; U2AFBPL; ZC3H21; ZRSR1,ZRSR2 pseudogene 1,5q22.2,pseudo,/
CWITA007058,TCMBANKGE007058,GPR37L1,ET(B)R-LP-2; ETBR-LP-2; ETBRLP2,G protein-coupled receptor 37 like 1,1q32.1,protein-coding,/
CWITA007059,TCMBANKGE007059,PYCRL,FLJ13852,pyrroline-5-carboxylate reductase-like,8q24.3,protein-coding,
CWITA007060,TCMBANKGE007060,ZNF419,ZAPHIR; ZNF419A,zinc finger protein 419,19q13.43,protein-coding,/
CWITA007061,TCMBANKGE007061,ZNF625-ZNF20,-,ZNF625-ZNF20 readthrough (NMD candidate),19p13.2,ncRNA,/
CWITA007062,TCMBANKGE007062,S100A7,PSOR1; S100A7c,S100 calcium binding protein A7,1q21.3,protein-coding,/
CWITA007063,TCMBANKGE007063,UGT2B7,UDPGT_2B9; UDPGT2B7; UDPGTH2; UGT2B9,"UDP glucuronosyltransferase 2 family, polypeptide B7",4q13,protein-coding,
CWITA007064,TCMBANKGE007064,UTY,KDM6AL; KDM6C; UTY1,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",Yq11.221,protein-coding,/
CWITA007065,TCMBANKGE007065,IGHV1-2,IGHV12; V35,Immunoglobulin_Heavy_Variable_1-2,14q32.33,other,
CWITA007066,TCMBANKGE007066,ZNF85,HPF4; HTF1,zinc finger protein 85,19p12,protein-coding,/
CWITA007067,TCMBANKGE007067,TOLLIP,IL-1RAcPIP,toll interacting protein,11p15.5,protein-coding,/
CWITA007068,TCMBANKGE007068,TDRD15,-,tudor domain containing 15,2p24.1,protein-coding,/
CWITA007069,TCMBANKGE007069,STXBP3,MUNC18-3; MUNC18C; PSP; UNC-18C,syntaxin binding protein 3,1p13.3,protein-coding,/
CWITA007070,TCMBANKGE007070,EFR3A,-,EFR3 homolog A,8q24.22,protein-coding,/
CWITA007071,TCMBANKGE007071,PRDM6,KMT8C; PDA3; PRISM,PR/SET domain 6,5q23.2,protein-coding,/
CWITA007072,TCMBANKGE007072,TGFB1I1,ARA55; HIC-5; HIC5; TSC-5,transforming growth factor beta 1 induced transcript 1,16p11.2,protein-coding,/
CWITA007073,TCMBANKGE007073,RTCA,RPC; RTC1; RTCD1,RNA 3'-terminal phosphate cyclase,1p21.2,protein-coding,/
CWITA007074,TCMBANKGE007074,NDRG1,CAP43; CMT4D; DRG-1; DRG1; GC4; HMSNL; NDR1; NMSL; PROXY1; RIT42; RTP; TARG1; TDD5,N-myc downstream regulated 1,8q24.22,protein-coding,/
CWITA007075,TCMBANKGE007075,FASTKD2,COXPD44; KIAA0971,FAST kinase domains 2,2q33.3,protein-coding,/
CWITA007076,TCMBANKGE007076,KIF4B,-,kinesin family member 4B,5q33.2,protein-coding,/
CWITA007077,TCMBANKGE007077,PSIP1,DFS70; LEDGF; PAIP; PSIP2; p52; p75,PC4 and SFRS1 interacting protein 1,9p22.3,protein-coding,Research target
CWITA007078,TCMBANKGE007078,SRSF9,SFRS9; SRp30c,serine and arginine rich splicing factor 9,12q24.31,protein-coding,/
CWITA007079,TCMBANKGE007079,FAM222B,C17orf63,family with sequence similarity 222 member B,17q11.2,protein-coding,/
CWITA007080,TCMBANKGE007080,PSTPIP1,CD2BP1; CD2BP1L; CD2BP1S; H-PIP; PAPAS; PSTPIP,proline-serine-threonine phosphatase interacting protein 1,15q24.3,protein-coding,/
CWITA007081,TCMBANKGE007081,THRB,ERBANBETA; ERBA2; GRTH; MGC126109; MGC126110; NR1A2; PRTH; THR1; THRB1; THRB2,"thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)",3p24.2,protein-coding,
CWITA007082,TCMBANKGE007082,Mapk6-ps1,-,"mitogen-activated protein kinase 6, pseudogene 1",-,pseudo,/
CWITA007083,TCMBANKGE007083,TRMT11,C6orf75; MDS024; TRM11; TRMT11-1,tRNA methyltransferase 11 homolog,6q22.32,protein-coding,/
CWITA007084,TCMBANKGE007084,SLC1A4,ASCT1; SATT; SPATCCM,solute carrier family 1 member 4,2p14,protein-coding,/
CWITA007085,TCMBANKGE007085,SEC11C,SEC11L3; SPC21; SPCS4C,"SEC11 homolog C, signal peptidase complex subunit",18q21.32,protein-coding,/
CWITA007086,TCMBANKGE007086,ANO6,BDPLT7; SCTS; TMEM16F,anoctamin 6,12q12,protein-coding,/
CWITA007087,TCMBANKGE007087,ARIH2OS,C3orf71,ARIH2 opposite strand lncRNA,3p21.31,ncRNA,/
CWITA007088,TCMBANKGE007088,LARP4B,KIAA0217; LARP5,La ribonucleoprotein 4B,10p15.3,protein-coding,/
CWITA007089,TCMBANKGE007089,HK1,HK; HK1-ta; HK1-tb; HK1-tc; HKD; HKI; HMSNR; HXK1; NEDVIBA; RP79; hexokinase,hexokinase 1,10q22.1,protein-coding,/
CWITA007090,TCMBANKGE007090,NDUFS5,CIN15k; CI15K,"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)",1p34.2-p33,protein-coding,
CWITA007091,TCMBANKGE007091,WWC3,BM042,WWC family member 3,Xp22.2,protein-coding,/
CWITA007092,TCMBANKGE007092,SLAMF1,CD150; CDw150; SLAM,signaling lymphocytic activation molecule family member 1,1q23.3,protein-coding,/
CWITA007093,TCMBANKGE007093,HELQ,HEL308,"helicase, POLQ like",4q21.23,protein-coding,/
CWITA007094,TCMBANKGE007094,ZNF146,OZF,zinc finger protein 146,19q13.12,protein-coding,Research target
CWITA007095,TCMBANKGE007095,HCFC2,HCF-2; HCF2,host cell factor C2,12q23.3,protein-coding,/
CWITA007096,TCMBANKGE007096,LTN1,C21orf10; C21orf98; RNF160; ZNF294,listerin E3 ubiquitin protein ligase 1,21q21.3,protein-coding,/
